title_clean,first_sentence
pickles,every morning at eight 
me the cook,once there was a place called highplace
the mice inside the clock,i think there are some mice sitting in the clock
bats,bats-flying and flapping
hockey poem,when burrtuzi scores a goal
cameron,cameron is an awesome brother of mine
dgs,dogs are grate
triops,my triops are so cute
the dog,my dog is very cute to me
the dog,my dog is my favorite to me
i have a cat,i have a cat
snake,when i awoke one morning a stork was on my head
august,august is a good time for friends
me and my brother,i like to burp
snake,there was a snake
an eraser,a lion's tooth
my dog,my dog when i'm sad my dog makes me glad
ice cream,i like ice cream a whole lot
a ball,up bounce again down no one knows where it goes
rhyming with red,the boy slept in his red bed
haiku birds,birds fly in the sky
october,in october on the 29th
penguins,penguins<br<br> black
insects,insects insects are all around some fly around us
the red parrot,when i woke up one morning
you,snow it's white
last day of school,it is the last day of school and it is field day
bananas,bananas tropical
funny fly,there once was a fly who wore a blue tie
silly poem,almost every afternoon
me and soccer,soccer is an extremely fun sport to play
the bolder,the bolder is fun
spring flowers,i love the beautiful flowers in spring
toco pizza,taco pizzas are good
duck,duck small
butterflies and bees,butterflies fly high on a soft blue sky
my stinky bike,i have a stinky
summer,i love the hot sun
books,reading books are fun
sneeze,sneeze
the little pig,there once was a pig who wore a wig apon his head
the sound of a song,the sound of a song is what you need
my bed,the important thing about my bed is to lay in it
pumpkin,pumpkin is brown and black
celine,clever excellent long indepent nice excited
paramus 2h,i like banana because it is good
creepy monsters,creepym croly skary mosters atack in the dark
chan,climbing happy athletic nice
fruit,some fruit are red
spring,spring breeze going though the spring trees
surprisespring is here,spring looks like birds eating worms in the parks
roses are red violets are blue,roses are red
christmas eve,the tree is so prickly as if i was eating snickers
the walrus who started to cry,there once was a walrus who started to cry
spigtie,spigtie is yummy ecesply for my tummy
everlasting waters,winter white waters
cupcake,a cupcake is good
backpacks,backpacks
the jellyfish,i will sting you bad
summer poem,what i like to do in summer is play my xbox 360 
carebears are,careful
the frog head,when i got up out of bed
my kitten makes a hit,i went to go play baseball
handy hand,my hands are so handy
the boy,i was going to cross the street
the sun,the sun is up so are you how do you know it:s up?
the ceiling,i am a ceiling
dragons,dragons are my favorite animal ever
dictionary,i just met a person
baby brother,i have a baby brother
a bird,i found a little bird flying above my head
my dream,my dream is to skate like the pros
echo hello,echo echo can you hear me?''hello
honeybee,honeybee
a ball,like a rollercoaster on the ground
dogs,dogs sweet
odd food,almost every weather mix
pickles,every night before bed i put pickles on my head
roses,rose are red violet are blue baby i love you
toronto maple leafs,toronto is my team
a lion and a tiger,there was a lion and a tiger
whin my gramy died,i felt sad when my grandmd died my mom was sad
picture,there is a picture on the wall
cat cat,cat
it makes me shiver,pickles make me shiver
no war worries,as i wait for war
who is curly q,hello boys and girls
the red,hard like a stop sine
what i like to do best,when i am home and my time is free
home run,umpire calls
april showers,april sun
money,i get money and it looks funny
my family,my family is cool and full of joy
wacky monday,on wacky monday there was a dog with 5 legs 
what am i,i can fly 
summer,summer is hot and warm sometimes it rains
my family,my family is so funny
colours,colours are nice at night
seashells,seashells are green
claire,claire is lovly active is nice educated
a hero,a hero has been found
night fury,diving
one morning,when i woke up one morning
who i am,cool
fish,fish have fins
clay,clay is loving laughter amazing young
i am cody,tough
big hat snowman,a snowman is fat
the teenage mutant ninja turtles,they are to silly and they are chilly in new york
toucan,the toucan is loco
burgers,almost every afternoon i eat meat with a spoon
crunch crunch,crunch
blue,blue soft good water dark blue blue barsis
my brother,my brother won't stop bugging me
mini me in the sky,i see a tiny me
belle,belle is my dog
snow,the nice
a dog on my haed,when i awoke one moring
i like spring,i like spring because it has a ring
monsters,monsters under my bed
jellybeans,almost every afternoon
the secret fountain,i`m diven the king of then mountain
when i awoke,when i awoke one morning
cd what are you,cd what are you like a mirror a face appears
butterfly,mommy
dogs,dogs are cheeky dogs say lala
puddles,puddles
spring,in the spring the grass turns green
strange animals,there are so many animals that are strange
the snake,when i awoke one day
my dog lucky,my dog lucky is fat
all about me,cynthia pretty
classroom globe,our classroom globe is useful
a rainbow,a rainbow has beautiful colors- light blue
hearty day,hearty days a master of arts
creek,blue water rushing bubbling
spring is here,yippee spring is here 
my dog,my dog is black and brown
a rabbit,there once was a rabbit
the color poem,pink is the color as a grapefruit inside
the mouse,when i woke up one morning
fire sharks,the shark is on fire
storks,when i awoke one morning
my eyes,my eyes are hazel
about babies,a baby is soft
valentines day,valentine is oncs a yere
fat cats,i saw a fat cat
daniel,dogs are my favorite animals
i cant write a poem,i don't no what to write my pencil is broken
dogs,dogs are fun soon there big
dragon,dragon scaly
fredy,fredy fro has an afrow
dog,dog furry
star wars,star wars is the best
cheese is the best 2d,i love cheese
my chips,almost every afternoon
dolphins,dolphis are butiful and their cute i like dolphins
two doves,i saw two doves that shared love
the winter,the winter is snowy
dogs,cute; nice; fun; they're playful
roses are red,roses are red
labs,labs black
aysia is my friend,aysia likes to smile she also likes to run a mile
about my cat,my cat likes to pure
playing with cousins,video games and computer games puzzles
a straw,a sacrifice for drinks and liquids
im a good student,i don't call out
happy,when i feel haappy i jump
my favorite dogs,i love my dogs
save water,water water water all around water
happy anniversary to my papa and mama,red is for love
paramus2h,i like pizza
baseball,whack
abcs,after bed coolweather drivesthrew our ears
heavenly fathers creations,heavenly father created the world
my awesome day at the game,i got a touchdown today
the britis sun,sun your heart is mine
love war,she is my fighting force
big fat bee let me be,yellow bee stinging me
the cow story,when i awoke one morning
cats,cats are great pets of all earth's creations
henry the snowman,henry the snowman is small and fat
almost every afternoon,almost every afternoon
cats,a cat was chasing a rat
mrs d,is fun
i cant write a poem,i can't write a poem 
cars,cars by de/jaun the wheeis slide
carrots,everyone likes carrots
cat in my lap,as i was siting reading
football,football is fun
grandpa franks,i didn't get to see him
choclate,choclate is good
candy,candy is good
sammy sosa,plays baseball
the two mermaids,once there lived two girls
sounds,a cat goes meow
cute and cuddley cat,my cute and cuddley cat looked through the glass
fun summer senses,summer tastes like ice cream
little eggs,when i awoke one morning a stork was on my head
minecraft,minecraft is here
spedee dog,fast dog it is running i love to see it run
one day,one day a long day
it is snowing,i like the snow when its steep
skunk,when i awoke one morning a skunk was my head
the free poem,when i go outside i feel like a free bird
haiku rain,the rain is so cool
pizza,i like to eat pizza
my dog rox,sits listens
the new kid,it is hard to be in a new school
roses,roses are red vilots are blue i love you
my dog,honey bear
honey my dog,honey bear
my dad snores,louder than a clap of thunder
me,my teeth are green
dogs,fluffy dogs are loud
hockey,i like hockey
what is summer,summer tastes like the nice sun
i eat,almost every day
girl,i am a girl
i love pickles by drew,i love eating my pickles by using my teeth
rain,the rain is like a clock
i saw a frog on my head,when i woke one morning a frog was on my head
haiku flowers,flowers are pretty
miss yail,miss
dad,dad&lt;br&gt;awesome
freedom,freedom is life
sally,sally selled seasheals at the seashore
football,football is cool
your little boy,roses are red
deadly war,in the year 200
school,school is fun
cakes,i like to eat birthday cake
ryan,funny
lost teeth,there is a boy
libby,my dog libby's pretty dumb
fishy,fishy
stars,stars here stars there stars every where i am
i am a dictionary,i am a dictionary
horses,horses can gallup
two bad animals,when i awoke one morning
fancy nails,kelly
christmas,the shimmering
snow,the snow is frosty in the winter
the watery pit,oh
mummy,mummy
the blue bird,i saw a blue bird up high in the sky 
mr magoo,mr
nobody,nobody to play with
thunderstorms,thunderstorms rumble into the night
miss hyzy rules,miss hyzy your so cool
